#separator:tab
#html:true
#columns:AudioRef	Question	Answer	Transcript	Tags
[sound:20b1bc45421b.mp3]	Listen and identify the preposition used in this sentence.	in light of	In light of new evidence, we revised our conclusions.	module:08 sense:phrasal type:listening frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
[sound:f4eedeca9ced.mp3]	Listen and identify the preposition used in this sentence.	regarding	Regarding your inquiry, we will respond shortly.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
[sound:7ccd96905ba1.mp3]	Listen and identify the preposition used in this sentence.	in front of	The statue stands in front of the cathedral.	module:08 sense:phrasal type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:partial
[sound:502089b2c532.mp3]	Listen and identify the preposition used in this sentence.	on time	The train arrived on time.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:56bf64b61b9f.mp3]	Listen and identify the preposition used in this sentence.	in time	We arrived in time to catch the bus.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:a965ffd399a7.mp3]	Listen and identify the preposition used in this sentence.	by accident	He broke the vase by accident.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:d4f748a6e00a.mp3]	Listen and identify the preposition used in this sentence.	on purpose	I did it on purpose.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:671f68478bac.mp3]	Listen and identify the preposition used in this sentence.	by mistake	She answered incorrectly by mistake.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:fd82f5a83121.mp3]	Listen and identify the preposition used in this sentence.	on foot	She came to the party on foot.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
[sound:c84b53fe448b.mp3]	Listen and identify the preposition used in this sentence.	by car	I traveled by car.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
[sound:00cb00ed8951.mp3]	Listen and identify the preposition used in this sentence.	by bus	He commutes by bus daily.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
[sound:ee5ccc8ab9f0.mp3]	Listen and identify the preposition used in this sentence.	on TV	The show is on TV.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:3500d3c7b3be.mp3]	Listen and identify the preposition used in this sentence.	in the news	The story appeared in the news.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:e4bc3a1a4fb8.mp3]	Listen and identify the preposition used in this sentence.	in love	She's in love.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:c1d6b68de7a8.mp3]	Listen and identify the preposition used in this sentence.	in trouble	He's in trouble.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
[sound:c0760abc2635.mp3]	Listen and identify the preposition used in this sentence.	under pressure	The team is under pressure.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
[sound:dfbbe84552bc.mp3]	Listen and identify the preposition used in this sentence.	out of stock	The store is out of stock.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
[sound:1c394f12675c.mp3]	Listen and identify the preposition used in this sentence.	out of breath	She ran out of breath.	module:09 sense:idiomatic type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
[sound:5335acfae399.mp3]	Which preposition completes 'depend ___'? Hear: "My success depends on hard work."	depend on	My success depends on hard work.	module:10 sense:interference type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
[sound:4d858f12e3cc.mp3]	Which preposition completes 'married ___'? Hear: "She is married to a doctor."	married to	She has been married to him for ten years.	module:10 sense:interference type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
[sound:9d9107820757.mp3]	Which preposition completes 'listen ___'? Hear: "I listened to the podcast."	listen to	Please listen to the announcement carefully.	module:10 sense:interference type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
[sound:0ce6646b1434.mp3]	Which preposition completes 'wait ___'? Hear: "I waited for the bus."	wait for	We had to wait for the bus in the rain.	module:10 sense:interference type:listening frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
[sound:1dca81e58a85.mp3]	Which preposition completes 'interested ___'? Hear: "He is interested in art."	interested in	She is very interested in classical music.	module:10 sense:interference type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:french
[sound:795c7cbe7d86.mp3]	Which preposition precedes the day? Hear: "He works on Monday."	on Monday	I'll see you on Monday morning.	module:10 sense:interference type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:german
[sound:1113d0fdb110.mp3]	Which preposition precedes the time of day? Hear: "I exercise in the morning."	in the morning	She always reads in the morning.	module:10 sense:interference type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
[sound:725e74996d50.mp3]	Which preposition completes 'afraid ___'? Hear: "She is afraid of spiders."	afraid of	He is afraid of heights, especially on bridges.	module:10 sense:interference type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
[sound:ba390a0fb894.mp3]	Which preposition completes 'go ___'? Hear: "I go to school every day."	go to	We go to the cinema every Friday night.	module:10 sense:interference type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:russian
[sound:c3aad2b2c386.mp3]	Which preposition would the speaker need before "Monday afternoon"? Hear: "Our class meets every Monday afternoon."	on Monday	Our class meets every Monday afternoon.	module:10 sense:interference type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:mandarin
[sound:0d848f715ddb.mp3]	Hear two sentences. Identify the two different senses of 'in'. Sentence 1 (spatial): "The keys are in the box." Sentence 2 (state): "He is in trouble."	Container (spatial) and state (abstract)	She keeps her photos in a box, but he is in love.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:03fa20e9f7b4.mp3]	Hear two sentences. Identify the two different senses of 'on'. Sentence 1 (support): "The book is on the table." Sentence 2 (event): "The movie is on tonight."	Support (spatial) and event (temporal/social)	The book is on the shelf, and the meeting is on tomorrow.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:e07cec4d001a.mp3]	Hear two sentences. Identify the two different senses of 'at'. Sentence 1 (location): "Meet me at the station." Sentence 2 (skill): "She is good at tennis."	Point location (spatial) and skill focus (activity)	She works at the library and is good at French.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:d642adcbc22c.mp3]	Hear two sentences. Identify the two different senses of 'by'. Sentence 1 (means): "The journey is by train." Sentence 2 (agent): "The house was built by the architect."	Means/instrument (active pathway) and agent (passive pathway)	I always travel by train, and the report was written by Sarah.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:67ac7f70ee2b.mp3]	Hear two sentences. Identify the two different senses of 'through'. Sentence 1 (spatial): "The river flows through the valley." Sentence 2 (process): "She learned through experience."	Spatial path (traversing) and process (means/method)	We walked through the forest and learned through experience.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:06ca506c0f0a.mp3]	Hear two sentences. Identify the two different senses of 'under'. Sentence 1 (spatial): "The cat is under the bed." Sentence 2 (state): "The rule is under review."	Spatial location (beneath) and state (subject-to-action)	The keys are under the mat, and the project is under review.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:51ca9a830356.mp3]	Hear two sentences. Identify the two different senses of 'over'. Sentence 1 (spatial): "The bridge is over the river." Sentence 2 (completion): "She is over her ex."	Spatial location (above/spanning) and completion (past/finished)	The bridge goes over the river, and the meeting is over.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:3e8dd78a9740.mp3]	Hear two sentences. Identify the two different senses of 'around'. Sentence 1 (spatial): "Talk around the table." Sentence 2 (avoidance): "She danced around the topic."	Spatial encircling and cognitive avoidance/evasion	We walked around the lake while she danced around the question.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:5cd815bececf.mp3]	Hear three sentences using 'in' in different senses. Identify: (1) spatial container, (2) abstract state, (3) temporal year. Sentence 1: "The keys are in the box." Sentence 2: "He is in trouble." Sentence 3: "She was born in 2024."	Container, state, and temporal	She lives in Paris, was born in 1990, and is in love.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:0e619fabf2c6.mp3]	Hear three sentences using 'on' in different senses. Identify: (1) spatial support, (2) temporal event, (3) activity focus. Sentence 1: "The book is on the table." Sentence 2: "The movie is on tonight." Sentence 3: "She worked on the project."	Support, event, and activity	The book is on the table, the meeting is on Monday, and the show is on TV.	module:11 sense:polysemy type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:b9c94aac6e6a.mp3]	Hear: "I'm going home." Identify: is 'home' bare or with a preposition?	home (bare, no preposition)	I'm going home after work today.	module:12 sense:zero type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
[sound:3a7aa193c672.mp3]	Hear: "She arrived last week." Identify: is 'last week' bare or with a preposition?	last week (bare, no preposition)	She arrived last week from Madrid.	module:12 sense:zero type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:bcfa21d2bad6.mp3]	Hear: "We discussed the proposal." Identify: does 'discuss' take a preposition?	discuss (bare transitive, no preposition)	We discussed the proposal in detail this morning.	module:12 sense:zero type:listening frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
[sound:bb143233d2b7.mp3]	Hear: "I play chess." Identify: does 'play' + game take a preposition?	play (bare, no preposition before game noun)	My children play chess every Sunday afternoon.	module:12 sense:zero type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
[sound:02b62aacbb35.mp3]	Hear: "We go to church." Identify: does 'church' take 'to' when it means attendance?	church (bare or with 'to': both acceptable; institutional meaning)	We go to church every Sunday morning.	module:12 sense:zero type:listening frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
[sound:2f73aa26ecd7.mp3]	Where is the object located? Listen carefully and identify the correct preposition.	on	The picture is on the wall looking beautiful.	module:01 type:listening sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
[sound:fa0cd0806f3a.mp3]	Which preposition describes the location in this sentence?	in	The keys are in the drawer.	module:01 type:listening sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
[sound:bf56c3a45891.mp3]	Where is the place being referenced? Choose the preposition you hear.	at	We're meeting at the station tomorrow morning.	module:01 type:listening sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:8b3161a98fc8.mp3]	What preposition indicates the spatial relationship you heard?	in	My passport is in my bag.	module:01 type:listening sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
[sound:ab7216c25c4c.mp3]	Which preposition did the speaker use for this location?	on	The lamp is on the desk.	module:01 type:listening sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
[sound:b2201c5f9921.mp3]	Where is this event taking place based on the preposition you heard?	at	The concert is at the arena.	module:01 type:listening sense:spatial frequency:mid register:neutral cefr:a1 image-schema:point generalisable:yes
[sound:c37eeee2b143.mp3]	What spatial relationship does the speaker describe?	in	The painting is in the museum.	module:01 type:listening sense:spatial frequency:mid register:formal cefr:a2 image-schema:container generalisable:yes
[sound:c154a73d4f16.mp3]	Which location preposition is being used in this statement?	on	The book sits on the shelf.	module:01 type:listening sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
[sound:d816e91e26d0.mp3]	When is the speaker available to meet?	after 5pm	I can meet with you after 5pm, after I finish my last appointment.	module:03 type:listening sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
[sound:084249404cb4.mp3]	How far back did the event occur?	five years ago	I moved to this city five years ago, and I haven't looked back since.	module:03 type:listening sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
[sound:a23737c5cf41.mp3]	When must the work be completed?	before the weekend	You need to finish this report before the weekend so we can review it.	module:03 type:listening sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
[sound:35a9e21961cf.mp3]	What time period is described?	from Monday to Friday	We're open from Monday to Friday, from 9am to 6pm.	module:03 type:listening sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
[sound:c1bb153a6246.mp3]	What happened continuously during the event?	she took notes throughout	Throughout the meeting, she took detailed notes for the entire presentation.	module:03 type:listening sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
[sound:c4567376d328.mp3]	Until when is the offer valid?	until next month	This special offer is valid until next month, so you should act fast.	module:03 type:listening sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
[sound:5ff3075cb29f.mp3]	What was the speaker doing while working?	listening to music	I always listen to music while working on creative projects.	module:03 type:listening sense:temporal frequency:mid register:neutral cefr:a2 image-schema:none generalisable:yes
[sound:89924ca0e254.mp3]	How long is the contract?	from January to June	Our partnership agreement runs from January to June, with an option to extend.	module:03 type:listening sense:temporal frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
[sound:e372f87a46a2.mp3]	Which preposition follows the verb 'depend' in the sentence you heard?	depend on	Her entire career depends on the success of this presentation.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:bcf00425f68e.mp3]	What preposition completes the verb-phrase you heard?	consist of	The team consists of five experienced engineers and three designers.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:48ccd76638ab.mp3]	Which word follows the verb 'listen' in the sentence?	listen to	Please listen to what I'm about to say carefully.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
[sound:966167c74711.mp3]	What preposition comes after 'look' in the phrase you heard?	look at	Don't look at the screen if you want the surprise to remain a secret.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
[sound:6dff2a21cb2b.mp3]	Which preposition follows 'look' in the sentence?	look for	We've been looking for the perfect apartment for months now.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
[sound:9161c039996d.mp3]	What word follows 'wait' in the collocation you heard?	wait for	The children were waiting for their parents to arrive from the airport.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
[sound:0c96098b322b.mp3]	Which preposition completes the verb 'arrive' in the audio?	arrive in	They arrived in Paris early morning and went straight to the hotel.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:fd80ab585864.mp3]	What preposition follows 'get' in the phrase you heard?	get on	I need to get on with my work or I'll never finish on time.	module:05 type:listening sense:dependent frequency:high register:informal cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:d7c2bea7f92e.mp3]	Which word follows the verb 'agree' in the sentence?	agree with	I completely agree with your assessment of the situation.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:58c17659163d.mp3]	What preposition comes after 'talk' in the collocation you heard?	talk to	You should talk to the manager about your concerns before submitting the report.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
[sound:2d8af21b3edb.mp3]	Which word follows 'write' in the phrase you heard?	write to	She wrote to the university to request information about their graduate programs.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:7112c5d9aff8.mp3]	What preposition completes the verb 'belong' in the audio?	belong to	This antique vase belongs to the museum's private collection.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:45210ee7643a.mp3]	Which word follows 'approve' in the sentence you heard?	approve of	The board approved of the new strategy after the presentation.	module:05 type:listening sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:25c5d4e3fc96.mp3]	What preposition comes after 'focus' in the phrase you heard?	focus on	The research team is focusing on sustainable energy solutions.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:9e389c9a668f.mp3]	Which word follows 'congratulate' in the collocation you heard?	congratulate on	Everyone came to congratulate her on winning the national competition.	module:05 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
[sound:6196a09d29cf.mp3]	What preposition follows the adjective you heard?	afraid of	Some children are afraid of the dark, so they need a nightlight.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
[sound:e2227917f047.mp3]	Which preposition completes the adjective in the sentence?	interested in	She's very interested in learning Japanese this summer.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
[sound:6f8e05304aa2.mp3]	What word follows 'married' in the phrase you heard?	married to	He has been married to the same person for thirty-five years.	module:06 type:listening sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
